name,id,twitter,groupe_sigle
Patrick Abate,697,p_abate,CRC
Philippe Adnot,211,Ph_Adnot,NI
Pascal Allizard,637,AllizardPascal,LR
Michel Amiel,689,michelamiel,RTLI
Jean-Claude Anglars,889,JCAnglars,LR
Maurice Antiste,33,MauriceANTISTE,SER
Alain Anziani,46,AANZIANI,SOC
Cathy Apourceau-Poly,842,Apourceau,CRCE
Aline Archimbaud,26,AlineArchimbaud,NI
Jean-Michel Arnaud,893,Arnaud_jm,UC
Guillaume Arnell,696,GuillaumeArnell,RDSE
Stéphane Artano,831,StephaneArtano,RDSE
Jean Arthuis,309,JeanArthuis,UDI
Éliane Assassi,76,ElianeAssassi,CRCE
David Assouline,44,dassouline,SER
François Aubey,613,AubeyF,SOC
Leila Aïchi,42,LeilaAichi,UC
Jérémy Bacchi,931,JeremyBacchi,CRCE
Dominique Bailly,264,baillydom,SOC
Julien Bargeton,823,JulienBargeton,RDPI
François Baroin,628,francoisbaroin,LR
Philippe Bas,60,basphilippe,LR
Jérôme Bascher,836,JeromeBascher,LR
Delphine Bataille,252,delphbataille,RDPI
Arnaud Bazin,751,arnaud_bazinVO,LR
Bruno Belin,877,brunobelin,LR
Nadine Bellurot,875,nbellurot,LR
Catherine Belrhiti,857,BelrhitiSenat,LR
Esther Benbassa,168,estherbenbassa,NI
Michel Berson,355,michel_berson,RDPI
Martine Berthet,722,mberthet2014,LR
Anne-Marie Bertrand,725,AMBERTRAND,LR
Jean Besson,483,http://twitter.com/bessonjean,SOC
Jérôme Bignon,625,jeromebignon,RTLI
Jacques Bigot,630,jacquesbigot,SOC
Joël Bigot,793,Joelbigot49,SER
Annick Billon,681,AnnickBillon,UC
Jean Bizet,268,jean_bizet,LR
Jean-Baptiste Blanc,915,jbblanc84,LR
Étienne Blanc,901,blanc_etienne,LR
Marie-Christine Blandin,98,mcblandin,NI
Florence Blatrix Contat,884,FlorenceBlatrix,SER
Maryvonne Blondin,379,m_blondin,SOC
Jean-Marie Bockel,200,BockelJeanMarie,UC
Éric Bocquet,265,ericbocquet,CRCE
Christine Bonfanti-Dossat,810,CBonfantiDossat,LR
François Bonhomme,612,F_Bonhomme,LR
François Bonneau,864,fbonneau,UC
Nicole Bonnefoy,271,bonnefoy_n,SER
Michel Bonnus,926,MichelBonnus,LR
Alexandra Borchio Fontimp,888,AlexndraBorchio,LR
Pascale Bories,802,pascaleBORIES,LR
Jean-Pierre Bosino,604,JPBosino,CRC
Denis Bouad,912,DBouad,SER
Natacha Bouchart,175,NatachaBouchart,LR
Gilbert Bouchet,650,BouchetGilbert,LR
Corinne Bouchoux,248,CorinneBouchoux,NI
Jean-Claude Boulard,693,J_C_Boulard,RDPI
Céline Boulay-Espéronnier,767,CBE16,LR
Yves Bouloux,839,YvesBouloux,LR
Hussein Bourgi,936,husseinbourgi,SER
Martial Bourquin,120,bourquinmartial,SOC
Toine Bourrat,910,ToineBourrat,LR
Michel Bouvard,622,m_bouvard,LR
Jean-Marc Boyer,737,BoyerJ_M,LR
Valérie Boyer,922,valerieboyer13,LR
Nicole Bricq,107,nbricq,RDPI
Isabelle Briquet,863,IsabelleBrique2,SER
Max Brisson,758,max_brisson,LR
Céline Brulin,840,celine_brulin,CRCE
François-Noël Buffet,136,fnb_officiel,LR
Bernard Buis,845,bernard_buis,RDPI
Christophe Béchu,37,ChristopheBechu,LR
Alain CAZABONNE,733,ACazabonne,UC
Henri Cabanel,627,senateurcabanel,RDSE
Alain Cadec,882,AlainCadec,LR
Olivier Cadic,643,OlivierCadic,UC
Jean-Pierre Caffet,114,jp_caffet,RDPI
François Calvet,56,CalvetFrancois,LR
