followers,n
644413,18
754872,12
1002351,11
1148781,59
1149081,11
1369481,22
1536651,17
1599681,19
1675551,18
1731311,74
2054261,19
2373961,36
2975331,12
3294571,64
3720341,52
3995491,11
4008771,11
4497651,67
5040821,18
5378312,12
5707942,26
5753372,13
5832732,17
5896712,14
5965792,25
5972472,17
6080312,67
6261052,10
6263522,17
6388802,12
6440842,10
6452062,10
6468102,12
6572442,101
6637442,14
6649362,26
6649582,13
6661832,14
6663162,14
6675012,30
6678312,12
6897012,558
6905432,33
6940432,17
6964622,29
6980742,20
6996932,10
6999492,19
7076142,100
7135462,30
7139582,18
7147902,40
7172372,16
7214502,52
7248862,11
7256902,15
7298822,31
7301502,25
7313662,11
7357302,39
7466522,15
7528932,12
7532752,34
7680392,13
7716552,18
7930632,35
8063412,54
8187082,12
8245672,19
8334882,12
8400172,19
8493812,10
8508262,43
8535002,17
8679402,54
8942102,13
9037812,11
9046722,18
9047132,32
9070742,14
9312742,21
9330552,38
9443712,41
9647592,12
9823272,129
10012322,11
10060092,10
10092042,15
10135782,12
10329512,13
10652382,121
10652932,47
10785112,10
10849542,100
10928032,10
10971612,37
11028822,21
11094142,11
11121452,40
11187522,10
11227042,40
11257382,11
11365612,29
11399112,21
11420682,17
11580452,16
11598842,23
11611502,13
11694252,379
11755512,10
11755922,14
11911322,80
11982832,11
12021242,12
12114502,18
12120422,13
12272292,34
12358762,68
12399092,35
12403422,14
12409842,23
12515812,19
12578232,10
12677962,15
12700192,19
12786782,22
12813132,19
12836732,12
12850632,11
12948642,25
13011142,16
13249612,34
13258212,18
13311292,30
13516792,11
13517882,60
13688412,10
13694872,10
13763122,11
13830762,62
14014042,18
14081046,35
14083939,11
14087981,16
14089212,24
14089418,29
14099673,19
14099825,46
14100759,16
14102381,12
14103321,20
14111644,12
14143602,22
14213451,15
14244948,10
14257558,68
14294071,10
14304290,20
14304740,21
14340419,10
14350651,221
14360468,13
14369378,91
14377362,18
14384500,19
14385748,10
14398228,79
14409110,10
14431351,18
14434067,10
14450263,10
14472044,13
14496127,13
14499774,13
14505314,16
14524515,18
14532362,14
14542746,25
14547035,20
14572135,13
14585767,10
14597927,27
14649548,26
14658057,147
14663629,14
14684624,11
14703242,24
14704108,15
14728031,39
14729674,58
14746456,29
14750909,86
14757619,11
14771020,27
14776738,49
14784699,11
14803639,14
14813149,10
14823889,34
14830176,26
14830796,127
14836659,20
14866301,12
14868626,17
14913711,54
14965720,25
15005745,10
15014405,32
15032381,10
15036948,95
15045773,13
15071939,16
15104964,17
15113996,23
15115975,28
15119739,74
15148120,12
15148222,13
15160601,15
15196040,19
15201340,28
15201402,53
15227440,70
15229547,28
15235022,31
15243531,12
15256445,23
15257467,29
15262136,16
15265738,12
15279165,14
15279602,13
15313124,16
15344371,19
15345794,11
15363984,18
15377991,23
15384707,55
15402188,15
15425877,11
15446820,10
15455098,76
15471078,26
15479378,10
15480982,59
15597381,11
15618847,51
15630152,29
15636736,10
15644503,218
15652696,17
15686977,47
15718694,12
15718804,15
15718937,17
15719040,17
15719055,13
15719393,15
15719404,24
15719595,48
15720074,12
15720352,65
15720429,44
15720569,38
15722536,13
15724364,154
15724510,87
15726000,22
15729390,24
15732991,20
15736248,95
15736825,11
15737961,32
15742625,49
15750767,27
15751435,98
15752314,63
15762439,10
15771109,11
15783589,62
15784408,11
15791746,15
15792293,18
15802408,10
15824686,82
15833851,32
15838516,13
15841696,28
15850659,28
15862836,10
15863893,11
15882953,53
15889898,15
15892162,27
15905680,17
15943808,14
15959624,27
15960447,12
15968316,55
15969561,24
15970456,31
15972264,61
15979577,50
15994404,19
15996880,142
15996980,10
16004156,12
16015702,10
16026981,21
16040268,13
16044371,30
16052967,23
16059325,10
16072625,11
16080251,48
16080932,30
16097779,23
16126187,10
16131662,19
16142103,25
16171542,11
16222469,41
16222533,15
16236382,55
16248522,28
16265474,16
16266822,12
16343991,151
16360667,11
16393048,12
16393931,11
16401264,10
16402570,382
16450417,14
16468824,11
16496229,47
16496272,37
16508943,10
16509514,11
16510524,33
16512734,21
16513356,13
16557431,10
16631932,17
16636733,13
16663526,69
16703058,13
16735810,32
16823994,18
16827486,18
16863382,43
16870993,19
16874833,11
16883353,111
16884402,19
16902262,18
16906352,31
16951649,13
16978230,11
16994192,14
16999980,126
17011687,12
17018967,12
17061821,13
17083812,12
17106416,15
17107316,11
17113511,25
17145416,10
17172028,27
17211968,183
17279840,25
17293750,12
17350474,12
17384668,13
17386139,20
17387437,15
17396243,12
17405648,19
17407428,13
17407788,11
17409728,69
17414951,533
17416180,119
17420861,21
17420965,29
17421359,12
17422077,60
17423473,26
17424727,17
17426368,11
17426581,14
17427709,57
17429668,23
17433459,10
17438423,10
17438968,15
17439035,10
17439803,15
17442991,36
17444069,12
17461762,15
17462040,13
17464079,34
17464631,23
17466616,19
17466893,12
17472567,13
17490832,21
17496348,94
17508664,11
17514448,16
17521032,15
17525171,46
17536486,10
17537470,13
17544063,21
17547912,89
17563531,128
17572812,11
17573296,42
17579047,19
17589686,11
17615298,315
17659095,26
17662448,62
17672182,24
17673879,19
17673898,25
17677644,27
17680301,23
17688298,62
17688757,11
17689783,15
17694647,20
17705486,34
17707569,18
17719639,12
17720270,29
17731487,18
17731605,12
17734378,14
17748961,45
17755358,14
17757783,25
17769015,19
17775750,10
17790069,50
17811074,14
17835425,10
17835430,71
17848055,10
17851649,12
17863971,37
17871187,51
17876854,32
17880396,14
17883826,39
17893958,226
17906596,10
17940967,12
17944508,13
17966526,21
17996042,17
18018296,18
18022037,22
18086348,11
18088737,27
18122537,98
18133238,11
18136229,10
18187117,17
18193207,85
18195259,16
18196041,11
18211618,22
18215159,58
18239377,15
18266102,10
18267808,22
18282772,53
18308923,234
18332209,12
18340370,20
18354626,15
18375545,16
18377185,13
18377324,39
18387196,191
18388719,17
18399014,30
18403800,93
18406828,10
18467174,26
18474033,11
18474934,21
18510442,13
18548136,60
18549733,14
18619374,16
18631475,28
18655563,15
18667889,24
18670556,15
18673426,60
18720978,19
18721640,20
18723742,23
18758219,12
18762336,33
18765716,29
18770791,14
18779803,19
18797015,42
18797335,31
18798416,21
18830754,17
18849276,37
18864967,11
18865843,12
18874645,22
18883952,13
18899521,13
18901920,18
18902071,20
18933803,13
18939017,18
18969131,80
18975778,55
18984473,15
19011429,81
19016988,27
19025420,24
19028546,25
19059320,18
19062473,71
19063065,36
19070846,10
19084627,150
19105180,19
19106827,13
19119784,18
19143598,11
19148041,14
19156968,18
19161394,120
19183538,15
19186238,13
19187128,10
19190944,40
19207432,28
19235445,16
19239391,14
19294401,36
19305275,12
19315343,30
19342897,27
19346928,23
19385627,14
19390664,13
19394368,28
19425170,21
19434115,10
19448723,25
19464226,39
19481195,11
19490006,23
19494545,49
19499297,19
19558480,54
19615536,13
19617096,19
19644677,10
19651335,10
19657202,51
19684582,10
19701381,12
19706516,21
19707161,11
19708965,16
19751955,11
19757835,22
19759328,11
19759964,17
19760236,16
19777350,34
19811696,18
19815765,18
19821013,14
19822406,36
19838544,10
19859987,15
19878624,26
19900973,112
19905058,13
19911061,11
19917067,11
19920041,10
19925292,23
19927167,13
19968381,13
19981064,25
20002216,11
